"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","04-Apr-2018","        250.50","        251.70","        253.00","        245.50","        246.70","        247.30","        249.33","   18824449","          4693472178.00","     109181","    5025914","         26.70"
"SBIN","N2","04-Apr-2018","      10512.48","      10505.00","      10749.99","      10505.00","      10650.00","      10650.00","      10590.82","        185","             1959301.38","         24","        181","         97.84"
"SBIN","N5","04-Apr-2018","      10902.32","      10940.00","      11049.99","      10930.00","      11044.99","      11017.28","      10964.63","        703","             7708135.61","         65","        703","        100.00"
"SBIN","N6","04-Apr-2018","      10600.00","      10600.00","      10600.00","      10500.00","      10500.00","      10500.00","      10562.50","          8","               84500.00","          2","          8","        100.00"
"SBIN","EQ","05-Apr-2018","        247.30","        252.60","        261.90","        250.00","        260.80","        259.30","        255.00","   22880821","          5834535910.45","     154532","    6073885","         26.55"
"SBIN","N2","05-Apr-2018","      10650.00","      10650.00","      10674.00","      10645.00","      10674.00","      10670.99","      10655.21","        120","             1278624.98","         18","        120","        100.00"
"SBIN","N5","05-Apr-2018","      11017.28","      11050.00","      11090.00","      10977.00","      11005.00","      11010.72","      11027.10","       1253","            13816951.89","         95","       1189","         94.89"
"SBIN","EQ","06-Apr-2018","        259.30","        259.65","        261.45","        254.85","        258.75","        259.70","        258.38","   24868860","          6425622724.80","     187342","    5294380","         21.29"
"SBIN","N2","06-Apr-2018","      10670.99","      10674.99","      10675.00","      10650.00","      10650.00","      10662.75","      10669.55","          9","               96025.99","          7","          9","        100.00"
"SBIN","N5","06-Apr-2018","      11010.72","      11011.00","      11078.00","      11011.00","      11050.00","      11047.76","      11042.16","        610","             6735715.00","         91","        610","        100.00"
"SBIN","EQ","09-Apr-2018","        259.70","        260.65","        262.75","        257.60","        259.85","        260.65","        260.74","   20208874","          5269269033.90","     122085","    3379791","         16.72"
"SBIN","N2","09-Apr-2018","      10662.75","      10688.00","      10774.00","      10688.00","      10772.99","      10772.99","      10755.17","         68","              731351.80","         15","         67","         98.53"
"SBIN","N5","09-Apr-2018","      11047.76","      10985.00","      11049.00","      10802.00","      10998.00","      11002.21","      10978.30","       2228","            24459656.14","        119","       2043","         91.70"
